,CM1,MW1,PC1,PC3,PC4,AR1,AR3,AR4,AR5,AR6,Apache,Safe,Zxing,EQ,JDT,LC,ML,PDE
0,0.4091415830546265,0.3903286978508218,0.6938461538461538,0.5974565945781297,0.8487107475402419,0.17543859649122806,0.22962962962962966,0.39945652173913043,0.888888888888889,0.591304347826087,0.7315608919382505,0.6354166666666666,0.5213366991224907,0.6631393298059964,0.7714934201476454,0.5833333333333334,0.7185210918114144,0.7169946332737029
1,0.5607993197278912,0.5289312457454051,0.7262277951933124,0.5976727320675106,0.8844951290152712,0.29818181818181816,0.3035714285714286,0.6016260162601625,0.46153846153846156,0.505,0.6467948717948718,0.5722222222222222,0.5002421307506053,0.7233270202020201,0.8550643833797955,0.6829014564024967,0.7868834771886559,0.666696289713397
2,0.35547785547785543,0.34702907711757275,0.5607816711590295,0.7171201814058956,0.794145509662751,0.4303571428571429,0.5641025641025641,0.6613636363636364,0.75,0.5357142857142857,0.7545025728987993,0.7138888888888889,0.5411542100283823,0.7359198998748435,0.805306718597858,0.6905273937532002,0.7391904851251901,0.7080340637027609
3,0.4347753185781355,0.6548672566371682,0.7419183577159038,0.681500135717948,0.8190460844344183,0.40625,0.7586206896551724,0.8186046511627907,0.7857142857142857,0.7127976190476191,0.34862187769164515,0.78125,0.40696767001114825,0.7292647297516637,0.8232818379877203,0.6216006216006216,0.7577173189172248,0.6552845291381747
4,0.2789084181313599,0.48158307210031354,0.6724104361370716,0.6671184891867195,0.886953066883073,0.7083333333333334,0.5,0.6888888888888889,0.041666666666666685,0.5668604651162791,0.5965811965811965,0.36979166666666663,0.5190352182539683,0.6973037272006345,0.8301850048685491,0.6625036305547488,0.6983718695234327,0.6657687525901368
5,0.5091374269005848,0.3866477272727273,0.5531653677805061,0.724518723628692,0.8093259042747534,0.5527272727272727,0.5233333333333334,0.8571428571428572,0.71875,0.659468438538206,0.7327365728900256,0.6444444444444444,0.4759830468566047,0.7262436224489794,0.8274658348187761,0.647729607561126,0.7737386621315193,0.7133553639074716
6,0.47881944444444446,0.4771739130434783,0.7360749348827891,0.6396893085592446,0.8599934548210411,0.3964285714285714,0.4137931034482758,0.6820652173913043,0.7076923076923077,0.4333333333333334,0.6106382978723404,0.49743589743589745,0.5411238320831688,0.7304928989139515,0.8377443609022557,0.61302790346908,0.729096232794011,0.7121833721833722
7,0.4016763378465506,0.3702702702702702,0.5258281573498964,0.7470332278481013,0.8941257564364234,0.5133928571428572,0.5153846153846153,0.3008130081300813,0.39999999999999997,0.5040650406504065,0.5183290707587382,0.7076023391812865,0.5913048394391678,0.6615740740740741,0.7835483249903736,0.6337566137566137,0.7568897039453688,0.6977628954117983
8,0.4011510791366907,0.38529014844804316,0.751868131868132,0.7442005710206996,0.7930786267995571,0.3732142857142857,0.10370370370370371,0.5679347826086957,0.5555555555555556,0.34415584415584416,0.6080851063829787,0.5026737967914439,0.5029871323529411,0.6891426783479349,0.8610555470072319,0.7513197586727,0.7558863972921515,0.7173317518145104
9,0.5459307010475424,0.28635204081632654,0.5204236724612901,0.7777175386283546,0.8317473613670631,0.5133928571428572,0.42857142857142855,0.8333333333333334,0.6153846153846154,0.6488095238095238,0.6851615646258502,0.7754010695187166,0.5081098339719029,0.6304171400746632,0.8033772788377632,0.6867724867724867,0.7124871928705367,0.670596546310832
